5;m500;8;2;1485939535932_0037;23;10;143;27;80;66;201;4;59;21;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;9;1;1485939535932_0038;2;10;12;3;8;8;88;13;42;30;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T21:27:53;480,89
5;m500;9;2;1485939535932_0039;23;10;150;26;75;60;215;3;59;26;C,multiplied_matrices;GROUP_BY,COMBINER;;
5;m500;10;1;1485939535932_0040;2;10;12;3;8;8;92;12;42;27;A,B,matrix1,matrix2;HASH_JOIN;2017-02-01T21:35:58;432,2
5;m500;10;2;1485939535932_0041;23;10;131;27;66;57;174;4;48;17;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;1;1;1485986378424_0022;2;12;12;5;9;9;83;14;44;48;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T07:14:30;433,47
6;m500;1;2;1485986378424_0023;23;12;142;30;80;65;129;3;56;44;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;2;1;1485986378424_0024;2;12;11;11;11;11;72;15;43;48;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T07:21:53;462,14
6;m500;2;2;1485986378424_0025;23;12;140;31;80;63;205;4;81;73;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;3;1;1485986378424_0026;2;12;12;11;11;11;73;14;42;45;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T07:29:40;432,98
6;m500;3;2;1485986378424_0027;24;12;137;31;78;67;172;4;59;26;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;4;1;1485986378424_0028;2;12;11;11;11;11;76;14;42;41;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T07:36:57;403,4
6;m500;4;2;1485986378424_0029;23;12;140;29;80;76;116;3;51;40;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;5;1;1485986378424_0030;2;12;12;11;11;11;100;14;53;54;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T07:43:45;430,1
6;m500;5;2;1485986378424_0031;23;12;144;22;86;107;128;3;51;27;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;6;1;1485986378424_0032;2;12;18;3;10;10;97;14;55;52;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T07:50:59;429,78
6;m500;6;2;1485986378424_0033;23;12;143;23;80;66;170;4;55;32;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;7;1;1485986378424_0034;2;12;17;3;10;10;93;17;45;48;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T07:58:13;424,62
6;m500;7;2;1485986378424_0035;23;12;132;32;77;63;146;4;65;52;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;8;1;1485986378424_0036;2;12;17;3;10;10;75;15;43;45;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T08:05:22;454,79
6;m500;8;2;1485986378424_0037;22;12;144;33;85;72;214;4;86;84;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;9;1;1485986378424_0038;2;12;16;3;10;10;89;15;44;47;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T08:13:01;450,58
6;m500;9;2;1485986378424_0039;22;12;141;31;90;113;205;4;73;28;C,multiplied_matrices;GROUP_BY,COMBINER;;
6;m500;10;1;1485986378424_0040;2;12;12;11;11;11;76;12;43;49;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T08:20:36;449,74
6;m500;10;2;1485986378424_0041;23;12;136;30;81;64;192;4;71;68;C,multiplied_matrices;GROUP_BY,COMBINER;;
7;m500;1;1;1486027566906_0022;2;14;18;16;17;17;182;14;67;64;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T21:19:12;682,96
7;m500;1;2;1486027566906_0023;23;14;392;26;106;72;325;4;177;208;C,multiplied_matrices;GROUP_BY,COMBINER;;
7;m500;2;1;1486027566906_0024;2;14;16;12;14;14;171;12;61;54;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T21:30:40;707
7;m500;2;2;1486027566906_0025;23;14;420;29;109;75;354;3;195;238;C,multiplied_matrices;GROUP_BY,COMBINER;;
7;m500;3;1;1486027566906_0026;2;14;16;11;14;14;87;12;50;54;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T21:42:31;559,6
7;m500;3;2;1486027566906_0027;23;14;357;32;108;105;289;4;145;134;C,multiplied_matrices;GROUP_BY,COMBINER;;
7;m500;4;1;1486027566906_0028;2;14;13;4;8;8;161;15;60;52;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T21:51:55;670,34
7;m500;4;2;1486027566906_0029;23;14;411;28;111;104;343;4;184;228;C,multiplied_matrices;GROUP_BY,COMBINER;;
7;m500;5;1;1486027566906_0030;2;14;16;3;10;10;130;20;56;59;A,B,matrix1,matrix2;HASH_JOIN;2017-02-02T22:03:10;470,1
7;m500;5;2;1486027566906_0031;23;14;163;26;88;103;187;3;89;97;C,multiplied_matrices;GROUP_BY,COMBINER;;
