Nodes;Dim;Test;Job;JobId;Alias;Feature;Worker;Duration
4;500;7;2;1485864406671_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w1;336
4;500;7;2;1485864406671_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w2;347
4;500;7;2;1485864406671_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w3;334
4;500;8;1;1485864406671_0036;A,B,matrix1,matrix2;HASH_JOIN;ma;120
4;500;8;1;1485864406671_0036;A,B,matrix1,matrix2;HASH_JOIN;w1;119
4;500;8;1;1485864406671_0036;A,B,matrix1,matrix2;HASH_JOIN;w2;132
4;500;8;1;1485864406671_0036;A,B,matrix1,matrix2;HASH_JOIN;w3;112
4;500;8;2;1485864406671_0037;C,multiplied_matrices;GROUP_BY,COMBINER;ma;326
4;500;8;2;1485864406671_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w1;339
4;500;8;2;1485864406671_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w2;327
4;500;8;2;1485864406671_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w3;326
4;500;9;1;1485864406671_0038;A,B,matrix1,matrix2;HASH_JOIN;ma;130
4;500;9;1;1485864406671_0038;A,B,matrix1,matrix2;HASH_JOIN;w1;131
4;500;9;1;1485864406671_0038;A,B,matrix1,matrix2;HASH_JOIN;w2;142
4;500;9;1;1485864406671_0038;A,B,matrix1,matrix2;HASH_JOIN;w3;158
4;500;9;2;1485864406671_0039;C,multiplied_matrices;GROUP_BY,COMBINER;ma;421
4;500;9;2;1485864406671_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w1;411
4;500;9;2;1485864406671_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w2;411
4;500;9;2;1485864406671_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w3;414
4;500;10;1;1485864406671_0040;A,B,matrix1,matrix2;HASH_JOIN;ma;114
4;500;10;1;1485864406671_0040;A,B,matrix1,matrix2;HASH_JOIN;w1;142
4;500;10;1;1485864406671_0040;A,B,matrix1,matrix2;HASH_JOIN;w2;114
4;500;10;1;1485864406671_0040;A,B,matrix1,matrix2;HASH_JOIN;w3;129
4;500;10;2;1485864406671_0041;C,multiplied_matrices;GROUP_BY,COMBINER;ma;374
4;500;10;2;1485864406671_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w1;377
4;500;10;2;1485864406671_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w2;376
4;500;10;2;1485864406671_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w3;388
5;500;1;1;1485939535932_0022;A,B,matrix1,matrix2;HASH_JOIN;ma;133
